date,air_pressure,water_vapor_pressure,relative_air_humidity,specific_air_humidity,average_cloud_cover,temperature,wind_speed,downfall,cloudy_weather
datetime64[ns],object,float64,float64,float64,float64,float64,float64,float64,float64
2002-01-01 00:00:00,986.9,4.7,89.0,2.9,,-2.9,13.4,5.0,
2002-01-02 00:00:00,1012.4,2.6,83.0,1.6,,-8.9,3.8,3.5,
2002-01-03 00:00:00,1011.3,3.1,78.0,1.9,,-6.0,5.7,0.0,
2002-01-04 00:00:00,1012.8,4.9,86.0,3.0,,-1.9,5.6,0.0,
2002-01-05 00:00:00,1006.8,4.0,84.0,2.5,,-3.4,4.7,0.0,
2002-01-06 00:00:00,1007.7,6.7,84.0,4.2,,3.0,5.3,15.4,
2002-01-07 00:00:00,1005.7,5.4,65.0,3.3,,3.9,4.9,2.4,
2002-01-08 00:00:00,1002.9,7.1,80.0,4.4,,4.3,6.0,0.0,
2002-01-09 00:00:00,1007.9,4.2,58.0,2.6,,2.4,7.9,5.4,
2002-01-10 00:00:00,999.7,6.3,61.0,3.9,,6.0,9.4,0.0,
2002-01-11 00:00:00,997.4,5.5,65.0,3.5,,5.1,5.6,0.0,
2002-01-12 00:00:00,998.2,6.8,78.0,4.3,,4.4,5.4,0.4,
2002-01-13 00:00:00,993.1,6.6,79.0,4.1,,3.6,4.0,5.2,
2002-01-14 00:00:00,992.4,6.2,66.0,3.9,,5.9,5.5,0.0,
2002-01-15 00:00:00,987.4,6.2,77.0,3.9,,4.0,3.9,0.0,
2002-01-16 00:00:00,985.1,5.8,85.0,3.7,,2.0,5.9,0.0,
2002-01-17 00:00:00,989.6,5.4,85.0,3.4,,0.8,5.3,1.0,
2002-01-18 00:00:00,984.2,6.4,84.0,4.0,,2.6,4.0,0.0,
2002-01-19 00:00:00,980.6,5.8,82.0,3.7,,1.7,4.7,2.6,
2002-01-20 00:00:00,975.9,5.1,95.0,3.3,,-1.5,3.2,0.7,
2002-01-21 00:00:00,981.4,4.0,88.0,2.5,,-4.3,3.8,1.8,
2002-01-22 00:00:00,967.1,3.2,75.0,2.1,,-5.5,5.3,3.4,
2002-01-23 00:00:00,973.1,3.7,90.0,2.4,,-5.3,5.2,1.6,
2002-01-24 00:00:00,974.9,2.7,83.0,1.8,,-8.5,5.0,1.1,
2002-01-25 00:00:00,976.9,4.1,82.0,2.6,,-4.2,10.8,0.5,
2002-01-26 00:00:00,976.7,3.4,89.0,2.2,,-5.9,5.8,2.8,
2002-01-27 00:00:00,977.9,2.5,76.0,1.6,,-8.9,4.3,0.0,
2002-01-28 00:00:00,959.2,3.3,54.0,2.1,,-1.9,5.2,0.0,
2002-01-29 00:00:00,975.7,4.9,81.0,3.1,,-0.8,10.9,0.9,
2002-01-30 00:00:00,989.3,4.0,91.0,2.5,,-3.4,5.5,3.6,
2002-01-31 00:00:00,979.7,,70.0,,,-2.4,5.7,0.0,
2002-02-01 00:00:00,980.1,3.6,64.0,2.3,,-0.8,5.1,,
2002-02-02 00:00:00,974,6.4,64.0,4.1,,5.5,11.3,0.1,
2002-02-03 00:00:00,981.7,4.5,46.0,2.9,,6.7,7.7,4.0,
2002-02-04 00:00:00,976,5.5,63.0,3.5,,4.4,8.2,0.0,
2002-02-05 00:00:00,966.6,4.5,52.0,2.9,,3.6,7.6,0.0,
2002-02-06 00:00:00,976,6.3,78.0,4.0,,3.6,5.8,0.3,
2002-02-07 00:00:00,983.7,5.3,80.0,3.3,,0.7,3.7,0.4,
