Navn,Stasjon,Tid(norsk normaltid),Midlere lufttrykk i stasjonsnivaa (dogn),Vanndamptrykk (dogn),Midlere relativ luftfuktighet (dogn),Spesifikk luftfuktighet,Gjennomsnittlig skydekke (dogn)
Trondheim - Voll,SN68860,01.01.2002,986.9,4.7,89,2.9,-
Trondheim - Voll,SN68860,02.01.2002,1012.4,2.6,83,1.6,-
Trondheim - Voll,SN68860,03.01.2002,1011.3,3.1,78,1.9,-
Trondheim - Voll,SN68860,04.01.2002,1012.8,4.9,86,3,-
Trondheim - Voll,SN68860,05.01.2002,1006.8,4,84,2.5,-
Trondheim - Voll,SN68860,06.01.2002,1007.7,6.7,84,4.2,-
Trondheim - Voll,SN68860,07.01.2002,1005.7,5.4,65,3.3,-
Trondheim - Voll,SN68860,08.01.2002,1002.9,7.1,80,4.4,-
Trondheim - Voll,SN68860,09.01.2002,1007.9,4.2,58,2.6,-
Trondheim - Voll,SN68860,10.01.2002,999.7,6.3,61,3.9,-
Trondheim - Voll,SN68860,11.01.2002,997.4,5.5,65,3.5,-
Trondheim - Voll,SN68860,12.01.2002,998.2,6.8,78,4.3,-
Trondheim - Voll,SN68860,13.01.2002,993.1,6.6,79,4.1,-
Trondheim - Voll,SN68860,14.01.2002,992.4,6.2,66,3.9,-
Trondheim - Voll,SN68860,15.01.2002,987.4,6.2,77,3.9,-
Trondheim - Voll,SN68860,16.01.2002,985.1,5.8,85,3.7,-
Trondheim - Voll,SN68860,17.01.2002,989.6,5.4,85,3.4,-
Trondheim - Voll,SN68860,18.01.2002,984.2,6.4,84,4,-
Trondheim - Voll,SN68860,19.01.2002,980.6,5.8,82,3.7,-
Trondheim - Voll,SN68860,20.01.2002,975.9,5.1,95,3.3,-
Trondheim - Voll,SN68860,21.01.2002,981.4,4,88,2.5,-
Trondheim - Voll,SN68860,22.01.2002,967.1,3.2,75,2.1,-
Trondheim - Voll,SN68860,23.01.2002,973.1,3.7,90,2.4,-
Trondheim - Voll,SN68860,24.01.2002,974.9,2.7,83,1.8,-
Trondheim - Voll,SN68860,25.01.2002,976.9,4.1,82,2.6,-
Trondheim - Voll,SN68860,26.01.2002,976.7,3.4,89,2.2,-
Trondheim - Voll,SN68860,27.01.2002,977.9,2.5,76,1.6,-
Trondheim - Voll,SN68860,28.01.2002,959.2,3.3,54,2.1,-
Trondheim - Voll,SN68860,29.01.2002,975.7,4.9,81,3.1,-
Trondheim - Voll,SN68860,30.01.2002,989.3,4,91,2.5,-
Trondheim - Voll,SN68860,31.01.2002,979.7,-,70,-,-
Trondheim - Voll,SN68860,01.02.2002,980.1,3.6,64,2.3,-
Trondheim - Voll,SN68860,02.02.2002,974,6.4,64,4.1,-
Trondheim - Voll,SN68860,03.02.2002,981.7,4.5,46,2.9,-
Trondheim - Voll,SN68860,04.02.2002,976,5.5,63,3.5,-
Trondheim - Voll,SN68860,05.02.2002,966.6,4.5,52,2.9,-
Trondheim - Voll,SN68860,06.02.2002,976,6.3,78,4,-
Trondheim - Voll,SN68860,07.02.2002,983.7,5.3,80,3.3,-
Trondheim - Voll,SN68860,08.02.2002,972.8,5.1,69,3.3,-
Trondheim - Voll,SN68860,09.02.2002,960.6,5.5,73,3.6,-
Trondheim - Voll,SN68860,10.02.2002,962.8,5.7,77,3.7,-
Trondheim - Voll,SN68860,11.02.2002,966,3.7,57,2.4,-
Trondheim - Voll,SN68860,12.02.2002,974.3,4.8,84,3.1,-
Trondheim - Voll,SN68860,13.02.2002,1001.4,5,82,3.1,-
Trondheim - Voll,SN68860,14.02.2002,1000.9,3.5,61,2.2,-
Trondheim - Voll,SN68860,15.02.2002,996.9,6.2,87,3.9,-
Trondheim - Voll,SN68860,16.02.2002,987.1,6.9,65,4.4,-
Trondheim - Voll,SN68860,17.02.2002,989.8,5.6,78,3.6,-
Trondheim - Voll,SN68860,18.02.2002,974.2,4.7,71,3,-
Trondheim - Voll,SN68860,19.02.2002,977.9,4.3,86,2.8,-
Trondheim - Voll,SN68860,20.02.2002,980.7,3.4,88,2.2,-
Trondheim - Voll,SN68860,21.02.2002,977.8,3.7,69,2.3,-
Trondheim - Voll,SN68860,22.02.2002,945.3,5.8,91,3.8,-
Trondheim - Voll,SN68860,23.02.2002,955.5,4.5,91,3,-
Trondheim - Voll,SN68860,24.02.2002,963,4.7,85,3,-
Trondheim - Voll,SN68860,25.02.2002,973.2,5.3,85,3.4,-
Trondheim - Voll,SN68860,26.02.2002,967.9,3.3,72,2.1,-
Trondheim - Voll,SN68860,27.02.2002,965.8,3.6,78,2.4,-
Trondheim - Voll,SN68860,28.02.2002,975,4,85,2.6,-
Trondheim - Voll,SN68860,01.03.2002,986.6,4.4,83,-,-
Trondheim - Voll,SN68860,02.03.2002,983.2,4.5,92,-,-
Trondheim - Voll,SN68860,03.03.2002,975,5.7,88,-,-
Trondheim - Voll,SN68860,04.03.2002,972.6,6.2,86,-,-
Trondheim - Voll,SN68860,05.03.2002,965.4,4.8,84,-,-
Trondheim - Voll,SN68860,06.03.2002,959.6,3.9,74,-,-
Trondheim - Voll,SN68860,07.03.2002,969.1,5.4,77,-,-
Trondheim - Voll,SN68860,08.03.2002,984.9,5.4,86,-,-
Trondheim - Voll,SN68860,09.03.2002,959.2,5.3,66,-,-
Trondheim - Voll,SN68860,10.03.2002,981.3,3.9,82,-,-
Trondheim - Voll,SN68860,11.03.2002,975.3,5.8,82,-,-
Trondheim - Voll,SN68860,12.03.2002,988.6,4,80,-,-
Trondheim - Voll,SN68860,13.03.2002,1003.2,3.8,83,-,-
Trondheim - Voll,SN68860,14.03.2002,1012.1,3.8,58,-,-
Trondheim - Voll,SN68860,15.03.2002,1015,3.9,65,-,-
Trondheim - Voll,SN68860,16.03.2002,1003,2.5,31,-,-
Trondheim - Voll,SN68860,17.03.2002,991.1,5.4,70,-,-
Trondheim - Voll,SN68860,18.03.2002,978,6,80,-,-
Trondheim - Voll,SN68860,19.03.2002,975.3,5.2,86,-,-
Trondheim - Voll,SN68860,20.03.2002,981.9,5.3,80,-,-
Trondheim - Voll,SN68860,21.03.2002,991.1,6,87,-,-
Trondheim - Voll,SN68860,22.03.2002,1007.3,5.3,88,-,-
Trondheim - Voll,SN68860,23.03.2002,1021.2,3,62,-,-
Trondheim - Voll,SN68860,24.03.2002,1015.9,3.6,58,-,-
Trondheim - Voll,SN68860,25.03.2002,1005,5.9,80,-,-
Trondheim - Voll,SN68860,26.03.2002,1006.6,3.2,56,-,-
Trondheim - Voll,SN68860,27.03.2002,1001.2,7.2,67,-,-
Trondheim - Voll,SN68860,28.03.2002,999.1,7.2,73,-,-
Trondheim - Voll,SN68860,29.03.2002,1002.9,6.9,77,-,-
Trondheim - Voll,SN68860,30.03.2002,1001.6,6.5,82,-,-
Trondheim - Voll,SN68860,31.03.2002,996.7,6.1,80,-,-
Trondheim - Voll,SN68860,01.04.2002,997.8,5.7,65,-,-
Trondheim - Voll,SN68860,02.04.2002,1003.4,6.8,58,-,-
Trondheim - Voll,SN68860,03.04.2002,1009.8,8.4,84,-,-
Trondheim - Voll,SN68860,04.04.2002,1007.8,7.3,71,-,-
Trondheim - Voll,SN68860,05.04.2002,1009.9,7.8,78,-,-
Trondheim - Voll,SN68860,06.04.2002,1009,7.2,81,-,-
Trondheim - Voll,SN68860,07.04.2002,1011,6.6,80,-,-
Trondheim - Voll,SN68860,08.04.2002,1007.3,6.9,66,-,-
Trondheim - Voll,SN68860,09.04.2002,1010.5,6,78,-,-
Trondheim - Voll,SN68860,10.04.2002,1004.9,7.2,70,-,-
Trondheim - Voll,SN68860,11.04.2002,999.6,7.9,93,-,-
Trondheim - Voll,SN68860,12.04.2002,994.1,6.4,79,-,-
Trondheim - Voll,SN68860,13.04.2002,997.9,4.6,62,-,-
Trondheim - Voll,SN68860,14.04.2002,996.5,5.7,50,-,-
Trondheim - Voll,SN68860,15.04.2002,1004.1,6.8,66,-,-
Trondheim - Voll,SN68860,16.04.2002,1005.7,4.1,51,-,-
Trondheim - Voll,SN68860,17.04.2002,1004.3,5.3,45,-,-
Trondheim - Voll,SN68860,18.04.2002,1002.9,6.5,57,-,-
Trondheim - Voll,SN68860,19.04.2002,1006.4,6.4,74,-,-
